NBC,BOX NO.,REV,6 DIGIT,LENGTH,WIDTH,DEPTH,STYLE,TEST,PRINTING,COMENT,PZS X HOJA,MEDIDA CORTE A CORTE,ANCHO  CM,LARGO CM,TAPA CM,ALTURA CM,FONDO CM,MATERIAL,OUT/LENGTH,OUT/WIDTH,OUT/DEPTH,CUBE/1,CUBE/12,CUBE/6,CUBE/4,GIR&LNTH/84,SQ FT OF ITEM,LB PER SQ FT,ITEM WT/LB,T/B FLAT DIM,L/R FLAT DIM
NBC115,C1/2-WHITE,NA,113859,3.875,3.875,4.3125,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,1E-WHITE,NA,114871,4.75,4.75,10,TTQB,.024CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,F1-WHITE,NA,340031,5.125,5.125,7.125,TTFFAB,.020CCNB,PLAIN,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,7B-WHITE,NA,345827,4.375,4.375,5.5625,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,FR2-BROWN,NA,401080,4.625,4.625,9.125,TTQB,.018CCNB,PLAIN ,WHITE (CLAY COATED) SIDE TO BE CARTON INSIDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,G1/2-WHITE,NA,401345,4.5625,4.5625,3.5,TTQB,.018CCNB,PLAIN,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,G2-WHITE,NA,401807,4.5625,4.5625,7.25,TTQB,.018CCNB,PLAIN,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,G1-1/2-WHITE,NA,401898,4.5625,4.5625,5.9375,TTQB,.018CCNB,PLAIN,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,C4-1/2-WHITE,NA,402416,3.875,3.875,8.375,TTQB,.018CCNB,PLAIN ,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBC115,C3-1/2-WHITE,NA,404948,3.875,3.875,6.25,TTQB,.018CCNB,PLAIN,AQUEOUS COATING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
